Transaction ID	Transaction Type	Transaction Created Date	Transaction Modified Date	Product ID	Quantity	Purchase Order ID	Customer Order ID	Comments
1	1	04/07/2023 9:48:57	04/07/2023 9:48:57	91	5	6		
2	1	04/07/2023 9:49:27	04/07/2023 9:49:27	90	5	5		
3	1	04/07/2023 9:49:37	04/07/2023 9:49:37	89	30	4		
4	1	04/07/2023 9:49:56	04/07/2023 9:49:56	88	25	3		
5	1	04/07/2023 9:50:04	04/07/2023 9:50:04	86	15	1		
6	1	04/07/2023 9:50:12	04/07/2023 9:50:12	87	20	2		
34	2	06/07/2023 20:56:58	06/07/2023 20:57:40	87	1		42	
35	2	06/07/2023 20:57:04	06/07/2023 20:57:40	87	1		42	
41	3	06/07/2023 21:16:44	06/07/2023 21:16:44	87	1		48	
42	3	06/07/2023 21:16:44	06/07/2023 21:16:44	87	1		48	
43	3	06/07/2023 21:20:34	06/07/2023 21:20:34	86	2		51	
44	3	06/07/2023 21:24:44	06/07/2023 21:24:44	91	2		53	
45	3	06/07/2023 21:27:16	06/07/2023 21:27:16	90	3		55	
46	3	06/07/2023 21:31:14	06/07/2023 21:31:14	90	1		54	
47	3	06/07/2023 21:35:27	06/07/2023 21:35:27	91	1		60	
48	3	06/07/2023 21:37:38	06/07/2023 21:37:38	91	1		59	
50	3	06/07/2023 21:44:57	06/07/2023 21:44:57	88	3		57	
51	3	06/07/2023 21:50:50	06/07/2023 21:50:50	89	2		62	
66	3	07/07/2023 4:55:24	07/07/2023 4:55:24	89	1		75	
67	2	07/07/2023 4:56:13	07/07/2023 4:58:11	89	2		75	
68	3	07/07/2023 4:56:19	07/07/2023 4:56:19	87	1		75	
69	2	07/07/2023 4:57:57	07/07/2023 4:58:11	86	2		75	
70	3	07/07/2023 5:17:53	07/07/2023 5:17:53	89	1		48	
71	3	07/07/2023 5:20:20	07/07/2023 5:20:20	88	1		57	
72	3	07/07/2023 6:54:09	07/07/2023 6:54:09	89	1		78	
73	3	07/07/2023 6:54:09	07/07/2023 6:54:09	89	-1		78	
74	3	07/07/2023 7:03:29	07/07/2023 7:03:29	90	1		89	
75	3	07/07/2023 7:03:29	07/07/2023 7:03:29	90	-1		89	
76	3	07/07/2023 12:32:07	07/07/2023 12:32:07	89	20		91	
77	3	09/07/2023 15:10:57	09/07/2023 15:10:57	88	1		93	
78	3	12/07/2023 17:27:47	12/07/2023 17:27:47	86	2		97	
79	3	14/07/2023 6:16:15	14/07/2023 6:16:15	90	1		107	
80	3	14/07/2023 6:28:40	14/07/2023 6:28:40	91	1		108	
81	3	14/07/2023 6:57:46	14/07/2023 6:57:46	88	2		103	
82	3	14/07/2023 18:33:48	14/07/2023 18:33:48	89	1		109	
83	3	14/07/2023 18:54:39	14/07/2023 18:54:39	88	1		110	
84	3	14/07/2023 19:09:27	14/07/2023 19:09:27	89	1		112	
85	3	14/07/2023 19:31:53	14/07/2023 19:31:53	88	1		114	
86	1	19/07/2023 9:49:26	19/07/2023 9:49:26	88	3	17		
87	1	19/07/2023 9:51:51	19/07/2023 9:51:51	89	1	18		
88	1	19/07/2023 9:52:11	19/07/2023 9:52:11	90	2	19		
89	1	19/07/2023 9:53:02	19/07/2023 9:53:02	91	1	20		
90	1	19/07/2023 9:56:02	19/07/2023 9:56:02	89	1	21		
91	3	19/07/2023 10:00:16	19/07/2023 10:00:16	88	9		116	
92	3	28/07/2023 13:51:57	28/07/2023 13:51:57	90	1		119	
93	3	03/08/2023 14:41:05	03/08/2023 14:41:05	89	2		114	
94	3	03/08/2023 14:44:27	03/08/2023 14:45:53	86	2		114	
95	3	17/08/2023 9:04:10	17/08/2023 9:04:10	88	2		124	
96	3	21/08/2023 10:38:29	21/08/2023 10:38:29	88	2		117	
97	3	22/08/2023 14:50:53	22/08/2023 14:50:53	87	2		126	
98	3	22/08/2023 14:54:00	22/08/2023 14:54:00	89	1		127	
99	3	23/08/2023 22:50:11	23/08/2023 22:50:11	88	2		130	
100	3	24/08/2023 11:47:44	24/08/2023 11:47:44	88	2		132	
101	3	24/08/2023 13:20:20	24/08/2023 13:20:20	91	1		133	
102	3	24/08/2023 13:20:20	24/08/2023 13:20:20	91	-1		133	
103	3	24/08/2023 13:21:47	24/08/2023 13:21:47	87	1		134	
104	3	24/08/2023 13:24:28	24/08/2023 13:24:28	90	1		135	
105	3	24/08/2023 13:26:55	24/08/2023 13:26:55	87	1		136	
107	3	24/08/2023 13:37:18	24/08/2023 13:37:18	87	1		138	
108	3	24/08/2023 14:07:15	24/08/2023 14:07:15	89	1		139	
109	3	24/08/2023 14:10:45	24/08/2023 14:10:45	87	1		140	
110	3	24/08/2023 15:10:39	24/08/2023 15:10:39	87	1		142	
111	3	24/08/2023 15:13:55	24/08/2023 15:13:55	87	1		143	
112	3	24/08/2023 15:37:28	24/08/2023 15:37:28	88	1		144	
113	3	25/08/2023 9:09:23	25/08/2023 9:09:23	87	1		145	
114	3	25/08/2023 9:59:38	25/08/2023 9:59:38	87	1		146	
115	3	25/08/2023 10:00:45	25/08/2023 10:00:45	91	1		147	
116	3	30/08/2023 15:04:34	30/08/2023 15:04:34	87	1		148	
117	3	31/08/2023 14:03:00	31/08/2023 14:03:00	88	1		150	
118	3	01/09/2023 20:57:06	01/09/2023 20:57:06	86	2		152	
119	3	03/09/2023 11:53:04	03/09/2023 11:53:04	86	1		153	
