Invoice ID	Order ID	Invoice Date	Due Date	Tax	Shipping	Amount Due
8	42	06/07/2023 20:57:40		0	0	0
9	48	06/07/2023 21:16:53		0	0	0
10	51	06/07/2023 21:20:49		0	0	0
11	53	06/07/2023 21:24:47		0	0	0
12	55	06/07/2023 21:27:57		0	0	0
13	54	06/07/2023 21:31:17		0	0	0
14	60	06/07/2023 21:35:39		0	0	0
15	59	06/07/2023 21:37:55		0	0	0
16	57	06/07/2023 21:45:02		0	0	0
17	75	07/07/2023 4:58:11		0	0	0
18	78	07/07/2023 6:54:51		0	0	0
19	89	07/07/2023 7:03:32		0	0	0
20	93	09/07/2023 15:11:00		1	2	0
21	97	12/07/2023 17:29:38		0	0	0
22	107	14/07/2023 6:16:17		0	0	0
23	108	14/07/2023 6:28:41		0	0	0
24	103	14/07/2023 6:58:35		0	0	0
25	114	14/07/2023 19:32:29		0	0	0
26	112	14/07/2023 19:33:11		0	0	0
27	119	28/07/2023 13:52:31		0	0	0
28	124	17/08/2023 9:04:12		0	0	0
29	116	21/08/2023 10:38:50		0	0	0
30	127	22/08/2023 14:54:59		0	0	0
31	130	23/08/2023 22:50:19		0	0	0
32	132	24/08/2023 11:47:58		0	0	0
33	133	24/08/2023 13:20:51		0	0	0
34	135	24/08/2023 13:24:31		0	0	0
35	136	24/08/2023 13:27:38		0	0	0
36	138	24/08/2023 13:39:15		0	0	0
37	139	24/08/2023 14:07:16		0	0	0
38	144	25/08/2023 9:18:54		0	0	0
39	147	25/08/2023 10:00:49		0	0	0
40	150	31/08/2023 14:03:03		0	0	0
41	152	01/09/2023 20:57:32		0	0	0
