ID	Order ID	Product ID	Quantity	NrDaysRental	Unit Price	RentalPrice	Discount	AbsoluteDiscount	Status ID	Date Allocated	Purchase Order ID	Inventory ID	DoctorId	Regalia	RegaliaUpdatedAt	RegalidatUpdatedBy	RegaliaComment	Informe
25	42	87	1	0	1700	0	0	0	2			34			06/07/2023 20:56:58			False
26	42	87	1	0	1700	0	0	0	2			35			06/07/2023 20:57:11			False
31	48	89	1	0	2700	0	0		1			70	151		07/07/2023 5:17:53		Por la compra de dos equipos	False
32	48	87	0	0	1700	0	0	0	0						07/07/2023 5:19:47			False
33	51	86	2	0	1200	0	0		1				145		06/07/2023 21:20:33			False
34	53	91	2	0	0	0	0	0	1						06/07/2023 21:24:44			False
35	55	90	3	0	25	0	0		1				148		06/07/2023 21:27:54			False
36	54	90	1	0	25	0	0	10	1				151		06/07/2023 21:31:14		Referencias	False
37	60	91	1	0	0	0	0	0	1						06/07/2023 21:35:20			False
38	59	91	1	0	0	0	0	0	1						06/07/2023 21:37:35			False
40	57	88	1	0	2200	0	0	0	1			71			07/07/2023 5:20:22			False
41	62	89	2	0	2700	0	0	0,02	1				154		06/07/2023 21:53:53		Por sus servicios	False
57	75	89	2	0	2700	0	0	0	2			67			07/07/2023 4:56:13			False
59	75	86	2	0	1200	0	0	0	2			69			07/07/2023 4:58:05			False
60	78	89	1	0	2700	0	0	0	1						07/07/2023 6:54:07	nzapata		False
61	87	90	1	5	25	0	0	0	0						13/07/2023 7:05:31			False
62	89	90	1	5	25	0	0	0	1						07/07/2023 7:03:29	nzapata		False
63	91	89	20	0	2700	0	0	0	1						07/07/2023 12:31:49			False
64	93	88	1	0	2200	0	0	0	1						09/07/2023 15:10:51	luizestevo		False
65	95	87	1	0	1700	0	0	0	0						10/07/2023 6:17:02	luizestevo		False
66	96	88	0	0	2200	0	0	0	0						10/07/2023 12:26:10	luizestevo		False
67	97	86	2	0	1200	0	0	0	1						12/07/2023 17:27:47	nbarrios		False
68	99	87	1	0	1700	0	0	0	0						12/07/2023 22:24:39	nbarrios		False
69	101	90	1	3	25	0	0	0	0						13/07/2023 7:10:04			False
70	103	88	2	0	2200	0	0,02	1	1				132	5	04/09/2023 10:39:04	Luizestevo	abc	False
71	106	87	1	0	1700	0	0	0	0						14/07/2023 6:53:51	luizestevo		False
72	107	90	1	3	25	0	0	0	1						14/07/2023 6:16:10	luizestevo		False
73	108	91	1	0	0	0	0	0	1						14/07/2023 6:28:05	luizestevo		False
74	109	89	1	0	2700	0	0	0	1				132	2	14/07/2023 18:33:42	luizestevo	222	False
75	110	88	1	0	2200	0	0	0	1				132	100	14/07/2023 18:54:39	luizestevo	abc	False
76	111	87	1	0	1700	0	0	0	0					0	17/07/2023 10:32:07			False
77	112	89	1	0	2700	0	0	0	1				148		14/07/2023 19:09:20			False
78	114	88	1	0	2200	0	0	0	1				132	300	14/07/2023 19:04:15			False
79	115	91	0	0	0	0	0	0	0					0	17/07/2023 21:42:04	luizestevo		False
80	116	88	9	0	2200	0	0	0	1					0	19/07/2023 9:59:28	luizestevo		False
81	117	89	3	0	2700	0	0	0	5					0	22/07/2023 10:37:43	luizestevo		False
82	119	90	1	2	25	0	0	0	1					0	28/07/2023 13:51:29	Luizestevo		False
83	114	89	2	0	2700	0	0	0	1			93	148	50	03/08/2023 14:43:19	Luizestevo	Por que si	False
84	114	86	2	0	1200	0	0	0	1			94	132	100	03/08/2023 14:45:57	Luizestevo	Por que si	False
85	117	88	2	0	2200	0	0	0	1					0	10/08/2023 12:35:27			False
86	121	91	0	0	0	0	0	0	0					0	14/08/2023 15:26:32			True
87	122	91	0	0	0	0	0	0	0					0	15/08/2023 14:04:43	luizestevo		True
88	122	91	0	0	0	0	0	0	0					0	10/08/2023 12:38:38			False
90	126	87	2	0	1700	0	0	0	1					0	22/08/2023 14:49:58	Luizestevo		False
91	127	89	1	0	2700	0	0	0	1					0	22/08/2023 14:54:00	Luizestevo		False
92	130	88	2	0	2200	0	0	0	1					0	23/08/2023 22:49:59	Luizestevo		False
93	132	88	2	0	2200	0	0	0	1					0	24/08/2023 11:47:14	Luizestevo		False
94	133	91	1	0	0	0	0	0	1					0	24/08/2023 13:20:20	luizestevo		False
95	134	87	1	0	1700	0	0	0	1					0	24/08/2023 13:21:46	luizestevo		False
96	135	90	1	0	25	0	0	0	1					0	24/08/2023 13:24:27	luizestevo		False
97	136	87	1	0	1700	0	0	0	1					0	24/08/2023 13:26:55	luizestevo		False
99	138	87	1	0	1700	0	0	0	1					0	24/08/2023 13:37:18	luizestevo		False
100	139	89	1	0	2700	0	0	0	1					0	24/08/2023 14:07:15	luizestevo		False
101	140	87	1	0	1700	0	0	0	1					0	24/08/2023 14:10:45	luizestevo		False
102	142	87	1	0	1700	0	0	0	1					0	24/08/2023 15:10:10			False
103	143	87	1	0	1700	0	0	0	1					0	24/08/2023 15:13:53	Luizestevo		False
104	144	88	1	0	2200	0	0	0	1					0	24/08/2023 15:37:23	Luizestevo		False
105	145	87	1	0	1700	0	0	0	1					0	25/08/2023 9:09:17	Luizestevo		False
106	146	87	1	0	1700	0	0	0	1					0	25/08/2023 9:59:25	luizestevo		False
107	147	91	1	0	0	0	0	0	1					0	25/08/2023 10:00:45	luizestevo		False
108	148	87	1	0	1700	0	0	0	1					0	30/08/2023 15:04:34	Luizestevo		False
109	149	87	2	0	1700	0	0	100	0					0	30/08/2023 16:10:58			False
110	150	88	1	0	2200	0	0	0	1					0	31/08/2023 14:03:00	Luizestevo		False
111	152	86	2	0	1200	0	0	0	1					0	01/09/2023 20:57:06	Luizestevo		False
112	153	86	1	0	1200	0	0	0	1					0	03/09/2023 11:53:04			False
