ID	Purchase Order ID	Product ID	Quantity	Unit Cost	Date Received	Posted To Inventory	Inventory ID
1	1	86	15	800	04/07/2023	True	5
2	2	87	20	1500	04/07/2023	True	6
3	3	88	25	2000	04/07/2023	True	4
4	4	89	30	2500	04/07/2023	True	3
5	5	90	5	1000	04/07/2023	True	2
6	6	91	5	0	04/07/2023	True	1
7	7	90	14	1000		False	
8	8	86	4	800		False	
9	9	91	4	0		False	
10	10	87	5	1500		False	
11	11	89	26	2500		False	
12	12	88	4	2000		False	
15	15	88	2	2000		False	
16	16	86	2	800		False	
17	17	88	3	2000	19/07/2023	True	86
18	18	89	1	2500	19/07/2023	True	87
19	19	90	2	1000	19/07/2023	True	88
20	20	91	1	0	19/07/2023	True	89
21	21	89	1	2500	19/07/2023	True	90
