Purchase Order ID	Supplier ID	Created By	Submitted Date	Creation Date	Status ID	Expected Date	Shipping Fee	Taxes	Payment Date	Payment Amount	Payment Method	Notes	Approved By	Approved Date	Submitted By
1	11	2	04/07/2023 9:44:43	04/07/2023 9:44:43	2		0	0		0			1	04/07/2023 9:48:44	2
2	11	2	04/07/2023 9:45:00	04/07/2023 9:45:00	2		0	0	27/06/2023	0	Credit Card		1	04/07/2023 9:48:39	2
3	11	2	04/07/2023 9:46:33	04/07/2023 9:46:33	2		0	0		0			1	04/07/2023 9:48:35	2
4	11	2	04/07/2023 9:46:35	04/07/2023 9:46:35	2	05/07/2023	0	0		0			1	04/07/2023 9:48:31	2
5	11	2	04/07/2023 9:46:41	04/07/2023 9:46:41	2	25/07/2023	0	0	06/07/2023	0	Credit Card		1	04/07/2023 9:48:10	2
6	11	2	04/07/2023 9:46:43	04/07/2023 9:46:43	2	04/07/2023	0	0		0			1	04/07/2023 9:48:20	2
7	11	1	07/07/2023 12:04:57	07/07/2023 12:04:57	1	18/07/2023	0	0		0					1
8	11	1	07/07/2023 12:05:20	07/07/2023 12:05:20	1	10/07/2023	0	0		0					1
9	11	1	07/07/2023 12:12:30	07/07/2023 12:12:30	1	14/07/2023	0	0		0					1
10	11	1	07/07/2023 15:03:40	07/07/2023 15:03:40	1		0	0		0					1
11	11	1	07/07/2023 15:04:31	07/07/2023 15:04:31	1	18/07/2023	0	0		0					1
12	11	9	09/07/2023 14:43:41	09/07/2023 14:43:41	1		0	0		0					9
15	11	9	13/07/2023 22:40:53	13/07/2023 22:40:53	1		0	0		0					9
16	11	9	13/07/2023 22:41:49	13/07/2023 22:41:49	1		0	0		0					9
17	11	9	19/07/2023 9:48:08	19/07/2023 9:48:08	2		0	0		0			1	19/07/2023 9:49:21	9
18	11	9	19/07/2023 9:48:11	19/07/2023 9:48:11	2		0	0		0			1	19/07/2023 9:51:11	9
19	11	9	19/07/2023 9:48:14	19/07/2023 9:48:14	2		0	0		0			1	19/07/2023 9:52:06	9
20	11	9	19/07/2023 9:48:17	19/07/2023 9:48:17	2		0	0		0			1	19/07/2023 9:52:57	9
21	11	9	19/07/2023 9:55:13	19/07/2023 9:55:13	2		0	0		0			1	19/07/2023 9:55:30	9
