Id	DoctorId	ClientId	UpdatedAt	UpdatedBy	CreatedAt
1	145	252	04/07/2023 9:01:19	nbarrios	17/07/2023 9:01:19
2	135	1	04/07/2023 9:10:26		04/07/2023 9:10:26
3	134	1	04/07/2023 9:23:39		04/07/2023 9:23:39
4	137	1	07/04/2023 14:41:00	nbarrios	01/12/2022 14:41:00
5	143	252	07/06/2023 20:54:04		07/06/2023 20:54:04
6	143	2	07/06/2023 20:54:09		07/06/2023 20:54:09
7	145	1	07/06/2023 21:04:32		07/06/2023 21:04:32
8	151	2	07/06/2023 21:07:54		07/06/2023 21:07:54
9	154	252	07/06/2023 21:08:39		07/06/2023 21:08:39
10	148	4	07/06/2023 21:09:06		07/06/2023 21:09:06
11	132	4	14/07/2023 7:25:18		14/07/2023 7:25:18
12	140	4	17/07/2023 13:27:25	luizestevo	
